1,Harvard University
2,Stanford University
3,Massachusetts Institute of Technology (MIT)
4,University of Cambridge
5,"University of California, Berkeley"
6,Princeton University
7,University of Oxford
8,Columbia University
9,California Institute of Technology
10,University of Chicago
11,Yale University
12,Cornell University
13,"University of California, Los Angeles"
14,Johns Hopkins University
15,University of Pennsylvania
16,Paris-Saclay University
17,University of Washington
18,University College London
19,"University of California, San Francisco"
20,ETH Zurich
21,"University of California, San Diego"
22,University of Toronto
23,Imperial College London
24,The University of Tokyo
25,New York University
26,Tsinghua University
27,Washington University in St. Louis
28,University of Michigan-Ann Arbor
29,University of North Carolina at Chapel Hill
30,Northwestern University
31,Duke University
32,The University of Melbourne
33,University of Wisconsin - Madison
34,Peking University
35,The University of Edinburgh
36,Zhejiang University
37,The University of Texas at Austin
38,The University of Manchester
39,University of Copenhagen
40,PSL University
41,Karolinska Institute
41,Kyoto University
43,Sorbonne University
44,Rockefeller University
44,University of British Columbia
44,"University of Minnesota, Twin Cities"
47,The University of Queensland
48,King's College London
49,University of Illinois at Urbana-Champaign
50,"University of Maryland, College Park"
51,University of Colorado at Boulder
52,The University of Texas Southwestern Medical Center at Dallas
53,University of Southern California
54,Shanghai Jiao Tong University
54,Utrecht University
56,Technical University of Munich
57,"University of California, Santa Barbara"
57,University of Munich
59,University of Zurich
60,University of Sydney
61,"University of California, Irvine"
62,University of Geneva
62,University of Science and Technology of China
64,The University of New South Wales
64,Vanderbilt University
66,University of Groningen
67,Fudan University
67,University of Oslo
69,Aarhus University
70,Heidelberg University
71,National University of Singapore
71,The University of Texas M. D. Anderson Cancer Center
73,McGill University
74,Ghent University
75,Monash University
76,University of Bonn
77,The Hebrew University of Jerusalem
78,Universite Paris Cite
79,Sun Yat-sen University
79,The Australian National University
81,University of Bristol
82,University of Pittsburgh
83,Purdue University - West Lafayette
83,Technion-Israel Institute of Technology
83,University of Basel
83,Weizmann Institute of Science
87,Erasmus University Rotterdam
88,Nanyang Technological University
89,Uppsala University
90,McMaster University
90,Stockholm University
92,University of Alberta
92,University of Helsinki
94,University of Florida
95,KU Leuven
96,Huazhong University of Science and Technology
96,The University of Hong Kong
98,Seoul National University
99,Brown University
99,The University of Western Australia
101-150,Aix Marseille University
101-150,Arizona State University
101-150,Boston University
101-150,Carnegie Mellon University
101-150,Case Western Reserve University
101-150,Central South University
101-150,Emory University
101-150,Icahn School of Medicine at Mount Sinai
101-150,Indiana University Bloomington
101-150,King Abdulaziz University
101-150,King Saud University
101-150,Leiden University
101-150,London School of Economics and Political Science
101-150,Mayo Clinic Alix School of Medicine
101-150,Moscow State University
101-150,Nagoya University
101-150,Nanjing University
101-150,Norwegian University of Science and Technology - NTNU
101-150,Radboud University Nijmegen
101-150,Rice University
101-150,"Rutgers, The State University of New Jersey - New Brunswick"
101-150,Sapienza University of Rome
101-150,Sichuan University
101-150,Swiss Federal Institute of Technology Lausanne
101-150,The Chinese University of Hong Kong
101-150,The Ohio State University - Columbus
101-150,Pennsylvania State University - University Park
101-150,The University of Adelaide
101-150,The University of Glasgow
101-150,The University of Sheffield
101-150,Universite Grenoble Alpes
101-150,Universite libre de Bruxelles (ULB)
101-150,University of Amsterdam
101-150,University of Arizona
101-150,University of Bern
101-150,University of Birmingham
101-150,"University of California, Davis"
101-150,University of Exeter
101-150,University of Freiburg
101-150,University of Gothenburg
101-150,University of Lausanne
101-150,University of Liverpool
101-150,University of Montreal
101-150,University of Nottingham
101-150,University of Sao Paulo
101-150,University of Strasbourg
101-150,University of Utah
101-150,University of Warwick
101-150,Wuhan University
101-150,Xi'an Jiaotong University
151-200,Baylor College of Medicine
151-200,Beijing Institute of Technology
151-200,Cardiff University
151-200,City University of Hong Kong
151-200,Delft University of Technology
151-200,Georgia Institute of Technology
151-200,Goethe University Frankfurt
151-200,Harbin Institute of Technology
151-200,Jilin University
151-200,London School of Hygiene & Tropical Medicine
151-200,Lund University
151-200,Michigan State University
151-200,Northwestern Polytechnical University
151-200,Osaka University
151-200,Shandong University
151-200,Soochow University (China)
151-200,South China University of Technology
151-200,Southeast University
151-200,Southern University of Science and Technology
151-200,Technical University of Denmark
151-200,Tel Aviv University
151-200,Texas A&M University
151-200,The Hong Kong Polytechnic University
151-200,The University of Calgary
151-200,Tianjin University
151-200,Tohoku University
151-200,Tokyo Institute of Technology
151-200,Tongji University
151-200,Trinity College Dublin
151-200,Tufts University
151-200,University of Barcelona
151-200,"University of California, Santa Cruz"
151-200,University of Cologne
151-200,University of Electronic Science and Technology of China
151-200,University of Goettingen
151-200,University of Leeds
151-200,University of Massachusetts Amherst
151-200,University of Milan
151-200,University of Montpellier
151-200,University of Padua
151-200,University of Pisa
151-200,University of Rochester
151-200,University of Southampton
151-200,University of Sussex
151-200,University of Tuebingen
151-200,University of Vienna
151-200,University of Waterloo
151-200,Vrije Universiteit Amsterdam
151-200,Wageningen University & Research
151-200,Xiamen University
201-300,Autonomous University of Barcelona
201-300,Beihang University
201-300,Beijing Normal University
201-300,Catholic University of Louvain
201-300,China Agricultural University
201-300,China Medical University (Taichung)
201-300,Chongqing University
201-300,Claude Bernard University Lyon 1
201-300,Colorado State University
201-300,Complutense University of Madrid
201-300,Curtin University
201-300,Dalian University of Technology
201-300,Deakin University
201-300,East China Normal University
201-300,Florida State University
201-300,George Mason University
201-300,Griffith University
201-300,Hanyang University
201-300,Hokkaido University
201-300,Hunan University
201-300,Jiangsu University
201-300,Karlsruhe Institute of Technology (KIT)
201-300,King Abdullah University of Science and Technology
201-300,Korea Advanced Institute of Science and Technology
201-300,Korea University
201-300,KTH Royal Institute of Technology
201-300,La Trobe University
201-300,Maastricht University
201-300,Macquarie University
201-300,Medical University of Vienna
201-300,Nanjing Medical University
201-300,Nankai University
201-300,National Autonomous University of Mexico
201-300,National Taiwan University
201-300,Newcastle University
201-300,North Carolina State University - Raleigh
201-300,Northeastern University (Boston)
201-300,Oregon Health and Science University
201-300,Oregon State University
201-300,Paul Sabatier University (Toulouse 3)
201-300,Polytechnic University of Milan
201-300,Queen Mary University of London
201-300,Queen's University
201-300,Queensland University of Technology
201-300,RWTH Aachen University
201-300,Shanghai University
201-300,Shenzhen University
201-300,Sungkyunkwan University
201-300,Swinburne University of Technology
201-300,The George Washington University
201-300,The University of Auckland
201-300,TU Dresden
201-300,Ulsan National Institute of Science and Technology
201-300,University of Aberdeen
201-300,University of Antwerp
201-300,University of Bologna
201-300,University of Bordeaux
201-300,University of Buenos Aires
201-300,"University of California, Riverside"
201-300,University of Cape Town
201-300,University of Colorado at Denver
201-300,University of Delaware
201-300,University of East Anglia
201-300,University of Erlangen-Nuremberg
201-300,University of Granada
201-300,University of Hamburg
201-300,University of Houston
201-300,University of Iowa
201-300,University of Kansas
201-300,University of Kiel
201-300,University of Leipzig
201-300,University of Lisbon
201-300,University of Lorraine
201-300,University of Mainz
201-300,University of Manitoba
201-300,University of Massachusetts Medical School - Worcester
201-300,University of Miami
201-300,University of Missouri - Columbia
201-300,University of Muenster
201-300,University of Naples Federico II
201-300,University of Nebraska - Lincoln
201-300,University of Ottawa
201-300,University of Porto
201-300,University of Science and Technology Beijing
201-300,University of South Florida
201-300,University of Southern Denmark
201-300,University of Tasmania
201-300,University of Technology Sydney
201-300,University of Tennessee - Knoxville
201-300,University of Tsukuba
201-300,University of Turin
201-300,University of Valencia
201-300,University of Virginia
201-300,University of Wollongong
201-300,University of Wuerzburg
201-300,Virginia Commonwealth University
201-300,Virginia Polytechnic Institute and State University
201-300,Western University
201-300,Yonsei University
201-300,Zhengzhou University
301-400,Aalborg University
301-400,Aalto University
301-400,Albert Einstein College of Medicine
301-400,Autonomous University of Madrid
301-400,Bar-Ilan University
301-400,Beijing University of Chemical Technology
301-400,Brandeis University
301-400,Cairo University
301-400,Capital Medical University
301-400,Catholic University of the Sacred Heart
301-400,Charles University in Prague
301-400,China University of Geosciences (Wuhan)
301-400,Peking Union Medical College
301-400,Dalhousie University
301-400,Dartmouth College
301-400,Drexel University
301-400,Durham University
301-400,East China University of Science and Technology
301-400,Ecole Normale Superieure - Lyon
301-400,Eindhoven University of Technology
301-400,Fuzhou University
301-400,Heinrich Heine University Duesseldorf
301-400,Huazhong Agricultural University
301-400,Indian Institute of Science
301-400,Indiana University-Purdue University at Indianapolis
301-400,Institut Polytechnique de Paris
301-400,James Cook University
301-400,Jinan University
301-400,Keio University
301-400,Kyushu University
301-400,Lancaster University
301-400,Lanzhou University
301-400,Laval University
301-400,Linkoping University
301-400,Nanchang University
301-400,Nanjing Agricultural University
301-400,NanJing Tech University
301-400,Nanjing University of Aeronautics and Astronautics
301-400,Nanjing University of Science and Technology
301-400,National and Kapodistrian University of Athens
301-400,National Cheng Kung University
301-400,Northeastern University (Shenyang)
301-400,Ocean University of China
301-400,Pohang University of Science and Technology
301-400,Pompeu Fabra University
301-400,Queen's University Belfast
301-400,RMIT University
301-400,Saint Petersburg State University
301-400,ShanghaiTech University
301-400,Simon Fraser University
301-400,Stony Brook University
301-400,Swedish University of Agricultural Sciences
301-400,Technical University of Berlin
301-400,The Hong Kong University of Science and Technology
301-400,The University of Dundee
301-400,The University of Georgia
301-400,"The University of Newcastle, Australia"
301-400,The University of Reading
301-400,The University of Texas at Dallas
301-400,The University of Texas Health Science Center at Houston
301-400,"University at Buffalo, the State University of New York"
301-400,University College Cork
301-400,University College Dublin
301-400,University of Alabama at Birmingham
301-400,University of Bergen
301-400,University of Bochum
301-400,University of Campinas
301-400,University of Central Florida
301-400,University of Cincinnati
301-400,University of Connecticut
301-400,University of Duisburg-Essen
301-400,University of Florence
301-400,University of Hawaii at Manoa
301-400,University of Illinois at Chicago
301-400,University of Innsbruck
301-400,University of Kentucky
301-400,University of Leicester
301-400,University of Liege
301-400,University of Lille
301-400,University of Malaya
301-400,"University of Maryland, Baltimore"
301-400,University of Milano-Bicocca
301-400,University of Notre Dame
301-400,University of Oregon
301-400,University of Otago
301-400,University of Saskatchewan
301-400,University of St Andrews
301-400,University of Stuttgart
301-400,University of Surrey
301-400,University of Tehran
301-400,University of the Basque Country
301-400,University of the Witwatersrand
301-400,University of Toulouse 1
301-400,University of Ulm
301-400,University of Victoria
301-400,Vienna University of Technology
301-400,Vrije Universiteit Brussel (VUB)
301-400,Washington State University
301-400,Western Sydney University
301-400,Wuhan University of Technology
401-500,Beijing University of Technology
401-500,Ben-Gurion University of the Negev
401-500,Boston College
401-500,Brigham Young University
401-500,Chalmers University of Technology
401-500,Chang Gung University
401-500,China University of Geosciences (Beijing)
401-500,China University of Mining and Technology - Xuzhou
401-500,China University of Petroleum (Huadong)
401-500,CUNY Graduate School and University Center
401-500,Federal University of Minas Gerais
401-500,Federal University of Rio de Janeiro
401-500,Federal University of Rio Grande do Sul
401-500,Flinders University
401-500,Florida International University
401-500,Georgetown University
401-500,Guangdong University of Technology
401-500,Hannover Medical School
401-500,Hiroshima University
401-500,Humanitas University
401-500,Istanbul University
401-500,Jagiellonian University
401-500,Jiangnan University
401-500,King Fahd University of Petroleum & Minerals
401-500,Kobe University
401-500,Kyung Hee University
401-500,Kyungpook National University
401-500,Louisiana State University - Baton Rouge
401-500,Masaryk University
401-500,Medical University of Innsbruck
401-500,Medical University of South Carolina
401-500,Murdoch University
401-500,Nanjing University of Information Science and Technology
401-500,National Tsing Hua University
401-500,National University of Malaysia
401-500,National Yang Ming Chiao Tung University
401-500,Northwest A&F University
401-500,Okayama University
401-500,Polytechnic University of Valencia
401-500,Qingdao University
401-500,Rensselaer Polytechnic Institute
401-500,Sejong University
401-500,Shandong University of Science and Technology
401-500,Southern Medical University
401-500,Stellenbosch University
401-500,Stockholm School of Economics
401-500,Taif University
401-500,Tampere University
401-500,Technical University Darmstadt
401-500,Tehran University of Medical Sciences
401-500,Temple University
401-500,Texas Tech University
401-500,The City College of New York
401-500,The University of Texas at San Antonio
401-500,The University of Texas Health Science Center at San Antonio
401-500,The University of Texas Medical Branch at Galveston
401-500,UNESP
401-500,University of Aveiro
401-500,University of Bari
401-500,University of Bath
401-500,University of Belgrade
401-500,"University of California, Merced"
401-500,University of Canterbury
401-500,University of Chile
401-500,University of Essex
401-500,University of Guelph
401-500,University of Jena
401-500,University of Johannesburg
401-500,University of Kent
401-500,University of Ljubljana
401-500,University of Macau
401-500,University of Maine
401-500,University of Marburg
401-500,University of Minho
401-500,"University of Natural Resources and Life Sciences, Vienna"
401-500,University of North Texas
401-500,University of Oulu
401-500,University of Pavia
401-500,University of Perugia
401-500,University of Potsdam
401-500,University of Pretoria
401-500,University of Regensburg
401-500,University of Santiago Compostela
401-500,University of Seville
401-500,University of South Carolina - Columbia
401-500,University of Strathclyde
401-500,University of Trento
401-500,University of Turku
401-500,University of Twente
401-500,University of Vermont
401-500,University of Warsaw
401-500,University of York
401-500,University of Zagreb
401-500,Utah State University
401-500,Victoria University of Wellington
401-500,Vita-Salute San Raffaele University
401-500,West Virginia University
401-500,Yangzhou University
401-500,York University
401-500,Zhejiang University of Technology
501-600,Alexandria University
501-600,Aristotle University of Thessaloniki
501-600,Asia University
501-600,Auburn University
501-600,Australian Catholic University
501-600,Baylor University
501-600,Beijing Jiaotong University
501-600,Brescia University
501-600,Carleton University
501-600,China University of Petroleum - Beijing
501-600,Chonnam National University
501-600,Chulalongkorn University
501-600,COMSATS University Islamabad
501-600,Concordia University
501-600,Duke-NUS Medical School
501-600,Georgia State University
501-600,Guangxi University
501-600,Guangzhou Medical University
501-600,Guangzhou University
501-600,Harbin Engineering University
501-600,Hefei University of Technology
501-600,Henan University
501-600,Hohai University
501-600,Iowa State University
501-600,Kansas State University
501-600,Leibniz University Hannover
501-600,Macau University of Science and Technology
501-600,Medical University of Graz
501-600,Mississippi State University
501-600,Moscow Institute of Physics and Technology
501-600,Nanjing Normal University
501-600,"National University of Ireland, Galway"
501-600,Northern Arizona University
501-600,Northwest University
501-600,NOVA University Lisbon
501-600,Oklahoma State University
501-600,Pontifical Catholic University of Chile
501-600,Pusan National University
501-600,Qatar University
501-600,Renmin University of China
501-600,Rush University
501-600,Saarland University
501-600,San Diego State University
501-600,Scuola Normale Superiore - Pisa
501-600,South China Agricultural University
501-600,South China Normal University
501-600,Southwest Jiaotong University
501-600,Southwest University
501-600,Southwestern University of Finance and Economics
501-600,"St George's, University of London"
501-600,Swansea University
501-600,Tarbiat Modares University
501-600,The University of New Mexico - Albuquerque
501-600,Tianjin Medical University
501-600,Umea University
501-600,Universita Della Svizzera Italiana
501-600,University of Alaska - Fairbanks
501-600,University of Arkansas at Fayetteville
501-600,University of Bremen
501-600,University of Burgundy
501-600,University of Catania
501-600,University of Clermont Auvergne
501-600,University of Coimbra
501-600,University of Cote d'Azur
501-600,University of Cyprus
501-600,University of Fribourg
501-600,University of Genoa
501-600,University of Giessen
501-600,University of Haifa
501-600,University of Konstanz
501-600,University of KwaZulu-Natal
501-600,University of Modena and Reggio Emilia
501-600,University of Navarra
501-600,University of Nevada - Reno
501-600,University of New Hampshire
501-600,University of Oklahoma - Norman
501-600,University of Palermo
501-600,University of Parma
501-600,University of Plymouth
501-600,University of Roma - Tor Vergata
501-600,University of Rostock
501-600,University of Salamanca
501-600,"University of Science, Malaysia"
501-600,University of Sherbrooke
501-600,University of South Australia
501-600,University of Southern Queensland
501-600,University of Tartu
501-600,University of Tromso
501-600,University of Ulsan
501-600,University of Verona
501-600,University of Vigo
501-600,University of Wyoming
501-600,University of Zaragoza
501-600,Wake Forest University
501-600,Wayne State University
501-600,Wenzhou Medical University
501-600,Xidian University
501-600,Yeungnam University
501-600,Yunnan University
501-600,Zhejiang Normal University
601-700,AGH University of Science and Technology
601-700,Amirkabir University of Technology
601-700,Anhui Medical University
601-700,Anhui University
601-700,Bangor University
601-700,Beijing University of Posts and Telecommunications
601-700,Binghamton University
601-700,Brunel University
601-700,Central China Normal University
601-700,Chang'an University
601-700,Chiba University
601-700,China Medical University (Shenyang)
601-700,Clemson University
601-700,Copenhagen Business School
601-700,Edith Cowan University
601-700,Eotvos Lorand University
601-700,Ewha Womans University
601-700,Federal University of Parana
601-700,Federal University of Sao Carlos
601-700,Federal University of Sao Paulo
601-700,Federal University of Vicosa
601-700,Guizhou University
601-700,Hacettepe University
601-700,Hangzhou Dianzi University
601-700,Hasselt University
601-700,Hong Kong Baptist University
601-700,HSE University
601-700,Hunan Normal University
601-700,INHA University
601-700,Juntendo University
601-700,Kent State University
601-700,King Khalid University
601-700,Kitasato University
601-700,Kunming University of Science and Technology
601-700,Liverpool John Moores University
601-700,Mahidol University
601-700,Mansoura University
601-700,Marche Polytechnic University
601-700,Massey University
601-700,Nanjing Forestry University
601-700,Nanjing University of Posts and Telecommunications
601-700,National Polytechnic Institute
601-700,National Sun Yat-Sen University
601-700,National University of Defense Technology
601-700,Naval Medical University
601-700,Ningbo University
601-700,Northumbria University
601-700,North-West University
601-700,Nottingham Trent University
601-700,Orebro University
601-700,Polytechnic University of Madrid
601-700,Polytechnic University of Turin
601-700,"Royal Holloway, University of London"
601-700,Saint Louis University
601-700,Sechenov University
601-700,Semmelweis University
601-700,Shaanxi Normal University
601-700,Shandong Normal University
601-700,Shanxi University
601-700,Sharif University of Technology
601-700,State University of New York Health Science Center at Brooklyn
601-700,Taipei Medical University
601-700,"The Chinese University of Hong Kong, Shenzhen"
601-700,The Open University
601-700,The University of Alabama - Tuscaloosa
601-700,The University of Texas at Arlington
601-700,Tilburg University
601-700,Tokyo Medical and Dental University
601-700,Tokyo University of Science
601-700,Ton Duc Thang University
601-700,Tulane University
601-700,Universidad Pablo de Olavide
601-700,Universitat Jaume I
601-700,University at Albany (State University of New York)
601-700,University of Alicante
601-700,University of Crete
601-700,University of Delhi
601-700,University of Eastern Finland
601-700,University of Extremadura
601-700,University of Ferrara
601-700,University of Graz
601-700,University of Greenwich
601-700,University of Halle-Wittenberg
601-700,University of Health Sciences Turkey
601-700,University of Iceland
601-700,University of Idaho
601-700,"University of Maryland, Baltimore County"
601-700,University of Nantes
601-700,University of Oldenburg
601-700,University of Rennes 1
601-700,University of Salerno
601-700,University of Siena
601-700,University of the Sunshine Coast
601-700,University of Trieste
601-700,University of Versailles Saint-Quentin-en-Yvelines
601-700,University Rovira i Virgili
601-700,Vellore Institute of Technology
601-700,Waseda University
601-700,Westlake University
601-700,Xi'an University of Technology
701-800,Addis Ababa University
701-800,Ain Shams University
701-800,American University of Beirut
701-800,Army Medical University
701-800,AUT University
701-800,Bielefeld University
701-800,Catholic University of Korea
701-800,Changsha University of Science and Technology
701-800,Chiang Mai University
701-800,China University of Mining and Technology - Beijing
701-800,Chongqing Medical University
701-800,Chung-Ang University
701-800,Chungnam National University
701-800,Colorado School of Mines
701-800,Comenius University in Bratislava
701-800,Dalian Maritime University
701-800,Donghua University
701-800,Federal University of Santa Catarina
701-800,Fluminense Federal University
701-800,Fujian Agriculture and Forestry University
701-800,Fujian Medical University
701-800,Fujian Normal University
701-800,Harbin Medical University
701-800,Indian Institute of Technology Delhi
701-800,Indian Institute of Technology Madras
701-800,Indian Institute of Technology Roorkee
701-800,INSA Toulouse
701-800,Jawaharlal Nehru University
701-800,Jeonbuk National University
701-800,Kanazawa University
701-800,Kaohsiung Medical University
701-800,Keele University
701-800,Kindai University
701-800,Konkuk University
701-800,Lincoln University
701-800,Liverpool School of Tropical Medicine
701-800,Loughborough University
701-800,Medical College of Wisconsin
701-800,Memorial University of Newfoundland
701-800,New Jersey Institute of Technology
701-800,North China Electric Power University
701-800,Northeast Agricultural University - China
701-800,Novosibirsk State University
701-800,Ohio University
701-800,Old Dominion University
701-800,Palacky University Olomouc
701-800,Polytechnic University of Catalonia
701-800,Qufu Normal University
701-800,School for Advanced Studies in the Social Sciences
701-800,Shahid Beheshti University of Medical Sciences
701-800,Shandong Agricultural University
701-800,Shanghai University of Finance and Economics
701-800,Shinshu University
701-800,Skolkovo Institute of Science and Technology
701-800,Southern Methodist University
701-800,Swarthmore College
701-800,Syracuse University
701-800,Taiyuan University of Technology
701-800,Technical University of Braunschweig
701-800,The University of Waikato
701-800,Thomas Jefferson University
701-800,Tomsk State University
701-800,Universitat de Lleida
701-800,Universiti Teknologi Malaysia
701-800,University of Agriculture Faisalabad
701-800,University of Arkansas for Medical Sciences
701-800,University of Bayreuth
701-800,University of Brasilia
701-800,University of Campania Luigi Vanvitelli
701-800,University of Castilla-La Mancha
701-800,University of Engineering and Technology (UET)
701-800,University of Hull
701-800,University of Jaen
701-800,University of Jordan
701-800,University of Jyvaskyla
701-800,University of La Laguna
701-800,University of Limerick
701-800,University of Louisville
701-800,University of Luebeck
701-800,University of Luxembourg
701-800,University of Malaga
701-800,University of Murcia
701-800,University of Nebraska Medical Center
701-800,University of Nevada-Las Vegas
701-800,University of Oviedo
701-800,University of Quebec Montreal
701-800,University of Salzburg
701-800,University of Shanghai for Science and Technology
701-800,University of Szeged
701-800,University of Tennessee Health Science Center
701-800,University of Texas at El Paso
701-800,University of the Balearic Islands
701-800,University of the Punjab
701-800,University of Toledo
701-800,University of Udine
701-800,University of Wisconsin-Milwaukee
701-800,University Putra Malaysia
701-800,Ural Federal University
701-800,Vilnius University
701-800,Wenzhou University
801-900,Air Force Medical University
801-900,Ajou University
801-900,Al-Azhar University
801-900,Anhui University of Technology
801-900,Ankara University
801-900,Babe?-Bolyai University
801-900,Beijing Forestry University
801-900,Bournemouth University
801-900,Changzhou University
801-900,Charles Darwin University
801-900,Cranfield University
801-900,Czech Technical University in Prague
801-900,Czech University of Life Sciences Prague
801-900,Dokuz Eylul University
801-900,Dongguk University
801-900,Dublin City University
801-900,Federal University of Ceara
801-900,Federal University of Pernambuco
801-900,Federal University of Santa Maria
801-900,Fordham University
801-900,Free University of Bozen-Bolzano
801-900,Gachon University
801-900,Gdansk University of Technology
801-900,Graz University of Technology
801-900,Gwangju Institute of Science and Technology
801-900,Gyeongsang National University
801-900,Hainan University
801-900,Hebei University of Technology
801-900,Heriot-Watt University
801-900,Indian Institute of Technology Kharagpur
801-900,Iran University of Science & Technology
801-900,Johannes Kepler University Linz
801-900,Kangwon National University
801-900,Khalifa University
801-900,Lehigh University
801-900,Linnaeus University
801-900,Manchester Metropolitan University
801-900,Mashhad University Medical Science
801-900,Michigan Technological University
801-900,Miguel Hernandez University of Elche
801-900,Monterrey Institute of Technology and Higher Education
801-900,Montpellier Business School
801-900,Nagasaki University
801-900,Nanjing University of Chinese Medicine
801-900,Nantong University
801-900,National Central University
801-900,National Chung Hsing University
801-900,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute)
801-900,National Taiwan University of Science and Technology
801-900,National University of Colombia
801-900,National Yunlin University of Science and Technology
801-900,Norwegian University of Life Sciences
801-900,Okinawa Institute of Science and Technology Graduate University
801-900,Osaka City University
801-900,Prince of Songkla University
801-900,Prince Sattam Bin Abdulaziz University
801-900,Royal College of Surgeons - Ireland
801-900,Shandong First Medical University
801-900,Shantou University
801-900,Sichuan Agricultural University
801-900,Southern Cross University
801-900,Southwest University of Science and Technology
801-900,Sultan Qaboos University
801-900,The Education University of Hong Kong
801-900,The Royal Veterinary College
801-900,The University of Tokushima
801-900,Uniformed Services University of the Health Sciences - USA
801-900,Universidade Federal de Pelotas
801-900,University Paris Est Creteil
801-900,University of Alcala
801-900,University of Cagliari
801-900,University of Calabria
801-900,University of Canberra
801-900,University of Chieti-Pescara
801-900,University of Cordoba
801-900,University of Girona
801-900,University of Ibadan
801-900,University of Jinan
801-900,University of Kassel
801-900,University of Lahore
801-900,University of L'Aquila
801-900,University of Magdeburg
801-900,University of Messina
801-900,University of Mississippi
801-900,University of Missouri-Kansas City
801-900,University of Mons
801-900,University of New England
801-900,University of North Carolina at Greensboro
801-900,University of Oklahoma - Oklahoma City
801-900,University of Portsmouth
801-900,University of Savoy
801-900,University of Stirling
801-900,University of Thessaly
801-900,University of Veterinary Medicine Vienna
801-900,Warsaw University of Life Sciences
801-900,Wroclaw Medical University
801-900,Yanshan University
801-900,Yokohama City University
801-900,Zagazig University
801-900,Zhejiang Sci-Tech University
901-1000,Adam Mickiewicz University
901-1000,Aligarh Muslim University
901-1000,Amherst College
901-1000,Amity University
901-1000,Bocconi University
901-1000,Brno University of Technology
901-1000,Budapest University of Technology and Economics
901-1000,Carlos III University of Madrid
901-1000,China Pharmaceutical University
901-1000,China West Normal University
901-1000,Chungbuk National University
901-1000,Duy Tan University
901-1000,Ege University
901-1000,Erciyes University
901-1000,Federal University of Bahia
901-1000,Federal University of Goias
901-1000,Federal University of Rio Grande do Norte
901-1000,Ferdowsi University of Mashhad
901-1000,F?rat University
901-1000,Florida Atlantic University
901-1000,Foshan University
901-1000,Gazi University
901-1000,Guangdong University of Foreign Studies
901-1000,Hallym University
901-1000,Hebei Medical University
901-1000,Homi Bhabha National Institute
901-1000,Huaqiao University
901-1000,Hunan Agricultural University
901-1000,Hunan University of Technology
901-1000,Illinois Institute of Technology
901-1000,International School for Advanced Studies
901-1000,Iran University of Medical Sciences
901-1000,Istanbul Technical University
901-1000,Kafrelsheikh University
901-1000,King Juan Carlos University
901-1000,Kumamoto University
901-1000,Liaocheng University
901-1000,Loyola University Chicago
901-1000,Manipal University
901-1000,Medical University of Warsaw
901-1000,Metropolitan Autonomous University
901-1000,Middle East Technical University
901-1000,Missouri University of Science and Technology
901-1000,Nara Institute of Science and Technology
901-1000,National University of La Plata
901-1000,National University of Sciences and Technology Pakistan
901-1000,NHH - Norwegian School of Economics
901-1000,Nicolaus Copernicus University
901-1000,Northeast Normal University
901-1000,Ontario Tech University
901-1000,Portland State University
901-1000,Qilu University of Technology
901-1000,Qingdao University of Science and Technology
901-1000,Quaid-i-Azam University
901-1000,Ryerson University
901-1000,Saitama University
901-1000,Shanghai Normal University
901-1000,South Dakota State University
901-1000,Southwest Petroleum University
901-1000,SRM INSTITUTE OF SCIENCE AND TECHNOLOGY
901-1000,SUNY College of Environmental Science and Forestry
901-1000,SUNY Upstate Medical University
901-1000,Technical University of Dortmund
901-1000,Technical University of Ostrava
901-1000,The Graduate University for Advanced Studies
901-1000,Tianjin University of Technology
901-1000,Tokyo University of Agriculture and Technology
901-1000,Tuscia University
901-1000,Universidad Andres Bello
901-1000,Universidad de Cadiz
901-1000,Universidad de Las Palmas de Gran Canaria
901-1000,Universidade Federal de Mato Grosso do Sul
901-1000,University of Arkansas at Little Rock
901-1000,University of Calcutta
901-1000,University of Cantabria
901-1000,University of Concepcion
901-1000,University of Hertfordshire
901-1000,University of Insubria
901-1000,University of Klagenfurt
901-1000,University of Lincoln
901-1000,University of Los Andes (Colombia)
901-1000,University of Massachusetts Boston
901-1000,University of Massachusetts Lowell
901-1000,University of Montana - Missoula
901-1000,University of Novi Sad
901-1000,University of Rhode Island
901-1000,University of Salento
901-1000,University of South Africa
901-1000,University of South Bohemia
901-1000,University of Tabriz
901-1000,University of The Free State
901-1000,University of Tours
901-1000,University of Ulster
901-1000,University of Urbino
901-1000,University of Valladolid
901-1000,University of Wuppertal
901-1000,Warsaw University of Technology
901-1000,Western Norway University of Applied Sciences
901-1000,Wroclaw University of Science and Technology
901-1000,Yantai University
